id;display_name;category
IT-28;3.80pain special sesame 80 500gr;Pains
IT-5;3.80special seigle 500gr;Pains
IT-9;Baguette 3 graines;Baguettes
IT-3;Baguette campagne 65;Baguettes
IT-95;Baguette fraiche;Baguettes
IT-58;Brioche chocolat 250g;Viennoiserie
IT-56;Brioche chocolat 500g;Viennoiserie
IT-60;Brioche nature 250g cercle;Viennoiserie
IT-20;Brioche nature 500g;Viennoiserie
IT-57;Brioche raisins 250g cercle;Viennoiserie
IT-48;Brioche raisins 500g;Viennoiserie
IT-104;Brioche sucre 250g;Patisserie
IT-53;Brioche sucre 500g;Patisserie
IT-64;Brioche suisse;Viennoiserie
IT-84;Brioche suisse chocolat;Viennoiserie
IT-62;Briochette  raisins;Viennoiserie
IT-61;Briochette chocolat;Viennoiserie
IT-59;Briochette nature;Viennoiserie
IT-86;Briochette sucre 125g;Patisserie
IT-85;Brownie noix;Patisserie
IT-72;Brownies sans ble;Patisserie
IT-50;Buns burger;Pains
IT-78;Carre aux raisins;Viennoiserie
IT-79;Ciabatta;Pains
IT-73;Congolais sans ble;Patisserie
IT-76;Cookie chocolat;Patisserie
IT-70;Cookie sans ble;Patisserie
IT-18;Coquille choco 500g;Viennoiserie
IT-29;Coquille chocolat 250 g;Viennoiserie
IT-31;Coquille nature  250g;Viennoiserie
IT-6;Coquille nature 500g;Viennoiserie
IT-87;Coquille orange choco 500g;Viennoiserie
IT-8;Coquille raisin 500g;Viennoiserie
IT-37;Coquilles raisins 250 g;Viennoiserie
IT-19;Coquillette choco;Viennoiserie
IT-24;Coquillette nature;Viennoiserie
IT-0;Coquillette raisins;Viennoiserie
IT-2;Coupe de pain;Coupe de pains
IT-105;Couronne de campagne;Pains
IT-46;Croissant;Viennoiserie
IT-98;Eclair cafe;Patisserie
IT-97;Eclair choco;Patisserie
IT-51;Faluche;Pains
IT-40;Fam pains saveurs et saisons;Pains
IT-41;Financier;Patisserie
IT-43;Galette 4 frangipane;Patisserie
IT-102;Galette 4 parts pomme poire;Patisserie
IT-35;Galette 4 parts pommes;Patisserie
IT-45;Galette 6 parts frangipane;Patisserie
IT-47;Galette 6 parts pommes;Patisserie
IT-52;Galette 8 parts frangipane;Patisserie
IT-55;Galette 8 parts pommes;Patisserie
IT-88;Gaufres au chocolat;Patisserie
IT-22;Gaufres au speculos;Patisserie
IT-66;Gaufres chicoree;Patisserie
IT-89;Gaufres mascobado;Patisserie
IT-26;Gaufres oranger;Patisserie
IT-77;Gaufres vanille;Patisserie
IT-100;Merveilleux chocolat;Patisserie
IT-68;Muffin;Patisserie
IT-13;Pain aux 6 graines;Pains
IT-65;Pain aux algues;Pains
IT-75;Pain aux chataigne;Pains
IT-7;Pain aux figues;Pains
IT-103;Pain aux oignons;Pains
IT-63;Pain campagne 80;Pains
IT-1;Pain campagne 80 500gr;Pains
IT-32;Pain campagne 80- 1kg;Pains
IT-44;Pain choco;Viennoiserie
IT-34;Pain complet 110 1kg;Pains
IT-10;Pain complet 110 500gr;Pains
IT-16;Pain du sportif;Pains
IT-15;Pain integral 150 1kg;Pains
IT-14;Pain integral 150 500gr;Pains
IT-49;Pain mie;Pains
IT-91;Pain norvegien;Pains
IT-54;Pain paysan - 1 kg;Pains
IT-27;Pain paysan 110;Pains
IT-23;Pain paysan 65;Pains
IT-11;Pain petit epautre;Pains
IT-33;Pain sans ble;Pains
IT-82;Pain special oignons;Pains
IT-83;Pain special sarrasin 500g;Pains
IT-36;Pain special tournesol 80;Pains
IT-30;Pain ss ble aux 6 graines;Pains
IT-38;Pain ss froment;Pains
IT-71;Palet de dame;Patisserie
IT-106;Paysan 110 a la coupe;Pains
IT-80;Pithiviers frangipane 4 parts;Patisserie
IT-74;Religieuse choco ou cafe;Patisserie
IT-107;Seigle a la coupe;Pains
IT-69;Seigle raisins;Pains
IT-17;Special 5 cereales;Pains
IT-12;Special 80 noix;Pains
IT-25;Special epeautre;Pains
IT-4;Special graine lin 80 500gr;Pains
IT-42;Special kamut 80;Pains
IT-21;Special pavot 80;Pains
IT-39;Special raisin 80;Pains
IT-67;Tarte au sucre;Patisserie
IT-99;Tartelette amandine poire;Patisserie
IT-101;Tartelette chocolat;Patisserie
IT-96;Tartelette citron meringué;Patisserie
IT-81;Chausson aux pommes;Viennoiserie
IT-93;Pain de mie complet tranche 500g;Pains
IT-92;Pain de mie nature tranche 500g;Pains
IT-90;Pain de mie cereale graine tranche 500g;Pains
